title_id;title;type;release_year;age_certification;runtime;genres;production_countries;imdb_id;imdb_score;imdb_votes;seasons
tm190486;Teenage Mutant Ninja Turtles III;MOVIE;1993;PG;96;['fantasy', 'scifi', 'action', 'comedy', 'family'];['HK', 'US'];tt0108308;47;331280;0
tm61103;The General's Daughter;MOVIE;1999;R;116;['drama', 'crime', 'thriller'];['US', 'DE'];tt0144214;64;587260;0
tm117488;The Next Karate Kid;MOVIE;1994;PG;107;['drama', 'family', 'romance', 'sport', 'action'];['US'];tt0110657;45;301380;0
tm55732;I Still Know What You Did Last Summer;MOVIE;1998;R;100;['thriller', 'horror'];['US'];tt0130018;47;732690;0
tm191431;Double Team;MOVIE;1997;R;93;['scifi', 'action', 'comedy', 'thriller'];['US', 'HK'];tt0119013;47;341270;0
tm17721;Under Suspicion;MOVIE;2000;R;110;['thriller', 'crime', 'drama', 'european'];['US'];tt0164212;65;254320;0
ts20939;Moesha;SHOW;1996;TV-PG;21;['drama', 'comedy', 'family'];['US'];tt0115275;57;37130;60
ts21693;Sister, Sister;SHOW;1994;TV-PG;22;['comedy', 'drama', 'family'];['US'];tt0108927;62;125350;60
ts22286;Cardcaptor Sakura;SHOW;1998;TV-Y7;25;['scifi', 'comedy', 'drama', 'family', 'fantasy', 'romance', 'animation', 'action'];['JP'];tt0221735;80;49360;40
tm190811;Geronimo: An American Legend;MOVIE;1993;PG-13;115;['western', 'drama', 'history'];['US'];tt0107004;65;115060;0
tm107659;The Mirror Has Two Faces;MOVIE;1996;PG-13;126;['romance', 'comedy', 'drama'];['US'];tt0117057;66;198290;0
ts21581;Girlfriends;SHOW;2000;TV-PG;21;['comedy', 'drama'];['US'];tt0247102;72;44820;80
tm7135;Bill Hicks: One Night Stand;MOVIE;1991;NC-17;30;['comedy'];['US'];;;;0
tm7073;Knight Rider 2000;MOVIE;1991;G;91;['action', 'scifi'];['US'];tt0102227;45;31780;0
tm63514;The Last Days;MOVIE;1998;PG-13;87;['drama', 'documentation', 'war'];['US'];tt0174852;79;42470;0
ts20918;The Parkers;SHOW;1999;TV-PG;19;['comedy'];['US'];tt0200353;68;23460;50
tm10811;Heavy;MOVIE;1995;R;105;['romance', 'drama'];['US'];tt0113280;68;49210;0
tm188970;Bill Hicks: Revelations;MOVIE;1993;Unknown;74;['comedy', 'documentation'];['GB'];tt0152183;85;30850;0
tm188606;Sankofa;MOVIE;1993;Unknown;124;['drama', 'european'];['GH', 'GB', 'US', 'BF', 'DE'];tt0108041;70;6780;0
tm128073;Bill Hicks: Relentless;MOVIE;1992;Unknown;61;['comedy'];['GB'];;;;0
ts18465;Dale's Supermarket Sweep;SHOW;1993;TV-G;21;[];['GB'];tt0962853;71;390;80
tm64817;Jerry Seinfeld: I'm Telling You for the Last Time;MOVIE;1998;G;75;['comedy', 'documentation'];['US'];tt0500140;79;58340;0
tm320211;Children of God;MOVIE;1994;Unknown;63;['documentation'];['GB'];tt6051792;64;5890;0
tm189171;Wild Tango;MOVIE;1993;R;124;['drama', 'music', 'romance'];['AR', 'ES'];tt0108291;67;15640;0
tm67635;Kuch Kuch Hota Hai;MOVIE;1998;G;185;['drama', 'romance', 'comedy'];['IN'];tt0172684;76;516400;0
ts22080;Oggy and the Cockroaches;SHOW;1999;TV-Y7;9;['comedy', 'family', 'action', 'animation', 'european'];['FR'];tt0213363;74;41850;70
ts22039;H;SHOW;1998;TV-MA;25;['comedy'];['FR'];tt0173554;74;17030;40
tm41525;Herod's Law;MOVIE;1999;R;120;['drama', 'comedy', 'crime'];['MX'];tt0221344;78;59430;0
tm7951;Tim Allen: Rewires America;MOVIE;1991;PG;30;['comedy', 'documentation'];['US'];tt0294967;59;1950;0
ts21684;Heartbreak High;SHOW;1994;TV-MA;47;['drama', 'romance', 'comedy'];['AU'];tt0108800;78;31060;70
tm55100;Dil Se..;MOVIE;1998;PG-13;163;['drama', 'romance'];['IN'];tt0164538;75;284090;0
ts224786;Escalona;SHOW;1991;TV-MA;44;['drama'];['CO'];;;;10
tm204173;Aashik Aawara;MOVIE;1993;Unknown;153;['romance', 'comedy', 'drama'];['IN'];tt0106206;47;3200;0
tm191614;Destiny;MOVIE;1997;Unknown;136;['drama', 'romance', 'comedy', 'history'];['EG', 'FR'];tt0119629;71;28250;0
tm8859;Oh Darling! Yeh Hai India!;MOVIE;1995;G;153;['comedy'];['IN'];tt0114031;40;16780;0
tm424630;A Triumph of the Heart: The Ricky Bell Story;MOVIE;1991;Unknown;100;['drama', 'sport'];['US'];tt0103123;72;2480;0
tm12876;Bombay;MOVIE;1995;Unknown;141;['romance', 'drama'];['IN'];tt0112553;81;125120;0
tm52083;West Beirut;MOVIE;1998;PG-13;105;['romance', 'war', 'comedy', 'drama', 'european'];['BE', 'FR', 'NO', 'LB'];tt0157183;76;41750;0
tm9898;Muthu;MOVIE;1995;G;165;['drama', 'comedy', 'romance', 'action'];['IN'];tt0140399;76;30560;0
tm326102;Qila;MOVIE;1998;Unknown;160;['drama', 'music', 'family'];['IN'];tt0286907;48;1290;0
tm12482;Ram Jaane;MOVIE;1995;Unknown;172;['action', 'drama', 'romance', 'crime'];['IN'];tt0114231;54;39010;0
